	species	caste	ID_number	date_of_collection	investigator	collection_site	Region	Latitude	Longitude	Forage_Plant	Temperature 	Wind	r.H.	H.I.	Time_of_Day	date_of_dissection	date_of_DNA_extraction	Concentration	Purity	QPCR_Concentration	QPCR_Purity	DNA_Storage	QPCR_Order	Year	CBombiConc	site_collapsed	site_collapsed_10k	Positive	days_Since_May1	faithpd	PC1	PC2	site_trip	Gammaproteobacteria	Alphaproteobacteria	Betaproteobacteria	Bifidobacterium	Bombiscardovia	Lactobacillus	Apibacter	Snodgrassella	Gilliamella	Schmidhempelia	core	Pseudomonadota	date_no_year	Month	site_year	trip_int
B0042	imp	W	42	7/3/17	FJ	Freedom Falls	Waldo	44.5282	-69.2974							1/8/17	8/3/17	56.0		56.0		2017_1	42.0	2017	0.0	Freedom Falls	Freedom Falls	0.0	63	2.217052474211930	-0.11506846290218100	-0.1070895613468500	Freedom Falls7/3/17	0.839035342766686	0.0	0.049508948762680100	0.0014214641080312700	0.004538993344963490	0.03876720294630740	0.06642114104800670	0.04937972475285910	0.4221909930865160	0.4168443496801710	0.999563868966854	0.8885442915293660	7/3/23	July	Freedom Falls2017	13
B0043	tern	W	43	7/3/17	FJ	Freedom Falls	Waldo	44.5282	-69.2974							1/8/17	8/3/17	29.0		29.0		2017_1	43.0	2017	0.0	Freedom Falls	Freedom Falls	0.0	63	2.270713205520260	-0.125663924547378	-0.09618480346848720	Freedom Falls7/3/17	0.9930768592985660	0.00012436779703175500	0.0032335627228256400	0.0	0.0	0.0013265898350053900	0.0009120305115662050	0.0014095016996932300	0.014343752590995800	0.9781941795870990	0.9961860542243600	0.9964347898184230	7/3/23	July	Freedom Falls2017	13
B0044	imp	W	44	7/3/17	FJ	1010 N Palermo Rd; Palermo; ME	Kennebec	44.4291	-69.4334							1/8/17	8/3/17	54.0		54.0		2017_1	44.0	2017	0.0	Palermo_ME	Palermo_ME	0.0	63	1.343540514756580	-0.029752159286239800	0.12317328319531500	1010 N Palermo Rd; Palermo; ME7/3/17	0.30224078997341400	0.0	0.6952525636156480	0.0	0.002354728446638820	0.0001519179642992780	0.0	0.6952525636156480	0.3016077984555010	0.0005570325357640210	0.9999240410178500	0.997493353589062	7/3/23	July	Palermo_ME2017	14
B0045	bim	W	45	7/3/17	FJ	Freedom Falls	Waldo	44.5282	-69.2974							1/8/17	8/7/17	26.0		26.0		2017_1	45.0	2017	7022.398997217230	Freedom Falls	Freedom Falls	1.0	63	1.489051357608980	0.02225017195844490	0.21211871610349400	Freedom Falls7/3/17	0.0006100693552530180	0.0	0.9772106986899560	0.014047649627536600	0.007826547649627540	0.0	0.0	0.9770260724377090	0.00022476239404058600	0.0001926534806062160	0.9993176855895200	0.9778207680452090	7/3/23	July	Freedom Falls2017	13
B0046	bim	W	46	7/3/17	FJ	271 Parmenter Hill Rd; Palermo; ME	Waldo	44.43	-69.4753							1/8/17	8/7/17	48.0		48.0		2017_1	46.0	2017	27.258420157913000	Palermo_ME	Palermo_ME	1.0	63	1.540606174107670	0.021282780262757100	0.20877809882605400	271 Parmenter Hill Rd; Palermo; ME7/3/17	0.00451786185589418	0.0	0.9938985576997720	0.00035708186489885300	0.0011799226840136000	0.0	0.0	0.9938519818043500	0.00017077828321249500	0.004083153498626010	0.9996429181351010	0.998416419555666	7/3/23	July	Palermo_ME2017	11
B0047	vag	W	47	7/12/17	JG	Allen Island Garden	Allen Island	43.8755	-69.3114	jasmine					11:00	1/8/17	8/7/17	47.0		47.0		2017_1	47.0	2017	267.12507928809500	Allen_Island	Allen_Island	1.0	72	2.686854860617040	-0.041372940883979000	0.09982668694542150	Allen Island Garden7/12/17	0.3795283439573990	0.0	0.6008499252380580	0.005849794076755590	0.01288003987303590	0.0	0.0	0.6006925316754540	0.3781904986752710	0.0004984129482437500	0.9981112772487600	0.9803782691954570	7/12/23	July	Allen_Island2017	2
B0048	imp	Q	48	8/1/17	JG	Dana walkway; Colby College	Kennebec	44.5616	-69.6619							1/8/17	8/7/17	101.0		101.0		2017_1	48.0	2017	8199.301884236960	Colby_College	Colby_College	1.0	92	2.312569718064410	-0.054418705388108400	0.07323845211752500	Dana walkway; Colby College8/1/17	0.4671836367723080	5.61924027871432E-05	0.5229826927399420	0.002191503708698580	0.006321645313553610	0.0004916835243875030	0.0	0.5228141155315800	0.4360670937289280	0.0	0.9678860418071480	0.9902225219150370	8/1/23	August	Colby_College2017	15
B0049	bor	W	49	7/12/17	JG	Allen Island Garden	Allen Island	43.8755	-69.3114	jasmine					11:00	1/8/17	8/7/17	116.0		116.0		2017_1	49.0	2017	1048.4210018276000	Allen_Island	Allen_Island	1.0	72	4.800626435076440	0.03652899669507480	0.19935981476543600	Allen Island Garden7/12/17	0.009064375192617970	0.0005076050107866070	0.9216656695853960	0.0003807037580899550	0.007124598901397730	0.000688892514638966	0.0	0.9215931545838550	0.0006526350138684940	0.0007251500154094380	0.931165134787259	0.9312376497888000	7/12/23	July	Allen_Island2017	2
B0050	bim	W	50	7/12/17	JG	Tidal River; St. George	Knox	43.9432	-69.2303							1/8/17	8/7/17	64.0		64.0		2017_1	50.0	2017	211.6062727121830	Port_Clyde_ME	Port_Clyde_ME	1.0	72	4.911320525384240	-0.09846871990697220	-0.08276352129092870	Tidal River; St. George7/12/17	0.679785153012168	0.0	0.13955107589270900	0.009084579423759160	0.0025861211498292500	0.028099200954875500	0.12947183448824600	0.13951792049335200	0.6035277344915620	0.07425151685952060	0.9865389078611450	0.8193362289048770	7/12/23	July	Port_Clyde_ME2017	16
B0051	bor	W	51	7/9/17	FJ	Monhegan	Monhegan Island	43.764	-69.314	catmint						2/8/17	8/7/17	112.0		112.0		2017_1	51.0	2017	2126.5776298807600	Monhegan_Island	Monhegan_Island	1.0	69	2.20681538279447	-0.05192874238799710	0.06965418482973260	Monhegan7/9/17	0.4678122884861250	0.0014100925020681400	0.5092314055802060	0.0	0.012841242385500500	0.0	0.0	0.5092314055802060	0.46610137625028200	0.0	0.9881740242159890	0.9784537865683990	7/9/23	July	Monhegan_Island2017	17
